App,Rating,Installs,Reviews,Genre,Sentiment,Monetization,Engagement_Score,Cluster,Segment,Engagement_Level,Market_Share
Spotify: Music and Podcasts,4.3311777,1000000000.0,35325696,Music & Audio,0.2745945,Free,7.214777850217147,0,Low Engagement,Medium,2.3640661938534278
Instagram,4.005581,5000000000.0,167117832,Social,0.299451,Paid,7.451177502211439,2,Top Performers,High,11.82033096926714
Duolingo: Language & Chess,4.720336,500000000.0,44287250,Education,0.474451,Freemium,7.658555002602304,0,Low Engagement,High,1.1820330969267139
WhatsApp Messenger,4.7079916,10000000000.0,232364311,Communication,0.3352225,Paid,8.024440800021715,2,Top Performers,High,23.64066193853428
Netflix,3.8997414,1000000000.0,15079641,Entertainment,-0.0800985,Free,6.289673700217147,1,Growth Apps,Low,2.3640661938534278
Facebook,4.570299,10000000000.0,180189588,Social,0.25807850000000004,Free,7.801306500021715,2,Top Performers,High,23.64066193853428
Snapchat,4.1651044,1000000000.0,39249771,Communication,0.309989,Freemium,7.202530200217147,0,Low Engagement,Medium,2.3640661938534278
YouTube,3.8807852,10000000000.0,169642859,Video Players & Editors,0.156908,Subscription,7.254208600021715,2,Top Performers,Medium,23.64066193853428
Amazon Shopping,4.4305325,1000000000.0,4504374,Shopping,0.0519395,Subscription,6.819145250217147,1,Growth Apps,Medium,2.3640661938534278
X,3.635386,1000000000.0,22899652,News & Magazines,0.12403600000000001,Subscription,6.565765000217147,1,Growth Apps,Low,2.3640661938534278
Microsoft Word: Edit Documents,4.7879615,1000000000.0,15884786,Productivity,0.3732335,Paid,7.640447750217147,0,Low Engagement,High,2.3640661938534278
Lightroom Photo & Video Editor,4.538773,100000000.0,3533773,Photography,0.299009,Free,6.867404502171473,0,Low Engagement,Medium,0.2364066193853428
Canva: AI Photo & Video Editor,4.7758393,500000000.0,24996234,Art & Design,0.430276,Free,7.597956652602304,0,Low Engagement,High,1.1820330969267139
Fitbit,4.157017,100000000.0,1255412,Health & Fitness,0.0581355,Subscription,6.194779502171473,1,Growth Apps,Low,0.2364066193853428
"Strava: Run, Bike, Walk",4.621647,100000000.0,1090822,Health & Fitness,0.265991,Freemium,6.842805502171473,0,Low Engagement,Medium,0.2364066193853428
